Device: USB-2408-2AO
Serial Number: 1C3CD1D
Channel Count: 2
Sample Count: 403
Start Time: 4/26/2023 4:48:56 PM
Scan Rate: 0.200000002980232
Sample,Time (s),CH0 (°C),CH1 (°C)
253,1264,28.999,23.617
254,1269,28.963,23.623
255,1274,28.911,23.628
256,1279,28.858,23.628
257,1284,28.806,23.636
258,1289,28.753,23.620
259,1294,28.705,23.624
260,1299,28.647,23.600
261,1304,28.606,23.607
262,1309,28.548,23.609
263,1314,28.503,23.630
264,1319,28.452,23.613
265,1324,28.401,23.628
266,1329,28.374,23.630
267,1334,28.350,23.639
268,1339,28.252,23.581
269,1344,28.228,23.600
270,1349,28.200,23.617
271,1354,28.160,23.631
272,1359,28.123,23.636
273,1364,28.089,23.631
274,1369,28.062,23.638
275,1374,28.028,23.640
276,1379,27.991,23.635
277,1384,27.948,23.622
278,1389,27.891,23.637
279,1394,27.847,23.631
280,1399,27.795,23.633
281,1404,27.763,23.621
282,1409,27.728,23.605
283,1414,27.712,23.622
284,1419,27.689,23.639
285,1424,27.638,23.655
286,1429,27.596,23.655
287,1434,27.544,23.645
288,1439,27.525,23.646
289,1444,27.486,23.645
290,1449,27.431,23.634
291,1454,27.377,23.624
292,1459,27.329,23.623
293,1464,27.300,23.621
294,1469,27.265,23.623
295,1474,27.239,23.628
296,1479,27.196,23.616
297,1484,27.159,23.618
298,1489,27.123,23.609
299,1494,27.144,23.659
300,1499,27.109,23.654
301,1504,27.087,23.654
302,1509,27.061,23.661
303,1514,27.031,23.661
304,1519,27.008,23.667
305,1524,26.995,23.666
306,1529,26.945,23.649
307,1534,26.920,23.651
308,1539,26.877,23.645
309,1544,26.858,23.652
310,1549,26.832,23.664
311,1554,26.817,23.671
312,1559,26.799,23.677
313,1564,26.761,23.659
314,1569,26.806,23.735
315,1574,26.779,23.737
316,1579,26.765,23.733
317,1584,26.735,23.737
318,1589,26.703,23.739
319,1594,26.681,23.726
320,1599,26.592,23.672
321,1604,26.576,23.675
322,1609,26.609,23.727
323,1614,26.581,23.719
324,1619,26.570,23.729
325,1624,26.554,23.724
326,1629,26.530,23.728
327,1634,26.496,23.709
328,1639,26.464,23.713
329,1644,26.446,23.713
330,1649,26.431,23.726
331,1654,26.401,23.724
332,1659,26.354,23.707
333,1664,26.327,23.703
334,1669,26.303,23.711
335,1674,26.282,23.708
336,1679,26.252,23.708
337,1684,26.227,23.707
338,1689,26.205,23.704
339,1694,26.187,23.705
340,1699,26.163,23.694
341,1704,26.152,23.695
342,1709,26.129,23.701
343,1714,26.102,23.688
344,1719,26.088,23.691
345,1724,26.064,23.707
346,1729,26.044,23.698
347,1734,26.031,23.704
348,1739,26.018,23.713
349,1744,26.004,23.707
350,1749,25.995,23.722
351,1754,25.973,23.718
352,1759,25.969,23.728
353,1764,25.933,23.719
354,1769,25.919,23.718
355,1774,25.902,23.711
356,1779,25.887,23.708
357,1784,25.855,23.704
358,1789,25.831,23.696
359,1794,25.813,23.697
360,1799,25.793,23.695
361,1804,25.786,23.692
362,1809,25.749,23.697
363,1814,25.706,23.685
