Device: USB-2408-2AO
Serial Number: 1C3CD1D
Channel Count: 2
Sample Count: 313
Start Time: 4/26/2023 4:20:39 PM
Scan Rate: 0.200000002980232
Sample,Time (s),CH0 (°C),CH1 (°C)
253,1264,26.375,23.681
254,1269,26.305,23.626
255,1274,26.279,23.644
256,1279,26.271,23.659
257,1284,26.266,23.688
258,1289,26.220,23.686
259,1294,26.146,23.641
260,1299,26.107,23.645
261,1304,26.064,23.649
262,1309,26.019,23.643
263,1314,25.986,23.664
264,1319,25.974,23.686
265,1324,25.944,23.678
266,1329,25.904,23.695
267,1334,25.892,23.700
268,1339,25.869,23.704
269,1344,25.830,23.704
270,1349,25.782,23.711
271,1354,25.684,23.647
272,1359,25.641,23.656
273,1364,25.601,23.658
274,1369,25.598,23.673
275,1374,25.570,23.680
276,1379,25.563,23.699
277,1384,25.556,23.707
278,1389,25.541,23.711
279,1394,25.537,23.719
280,1399,25.523,23.714
281,1404,25.515,23.719
282,1409,25.499,23.726
283,1414,25.497,23.730
284,1419,25.491,23.721
285,1424,25.475,23.732
286,1429,25.454,23.737
287,1434,25.438,23.748
288,1439,25.429,23.750
289,1444,25.416,23.762
290,1449,25.339,23.709
291,1454,25.317,23.718
292,1459,25.309,23.715
293,1464,25.287,23.720
294,1469,25.255,23.714
295,1474,25.254,23.734
296,1479,25.229,23.739
297,1484,25.211,23.738
298,1489,25.207,23.743
299,1494,25.192,23.743
300,1499,25.169,23.742
301,1504,25.157,23.746
302,1509,25.143,23.745
303,1514,25.133,23.764
304,1519,25.109,23.744
305,1524,25.106,23.757
306,1529,25.090,23.762
307,1534,25.080,23.763
308,1539,25.067,23.773
309,1544,25.056,23.769
310,1549,25.034,23.782
311,1554,25.026,23.783
312,1559,25.018,23.783
